scenario,zone,tech,weather_year,2030,2035,2040,2050,Unnamed: 8,Unnamed: 9
GlobalAmbition,CZ00,battery,1995,1105.7696,2232.4238,3359.0781,4169.1333,,
GlobalAmbition,CZ00,battery,2008,1108.0085,2257.3248,3406.6412,4152.1737,,
GlobalAmbition,CZ00,battery,2009,1094.5394,2250.7369,3406.9343,4136.8568,,
DistributedEnergy,CZ00,biomass,1995,3368.9834,3861.9691,4354.9547,4340.4019,,
DistributedEnergy,CZ00,biomass,2008,3368.9834,3861.9691,4354.9547,4340.4019,,
DistributedEnergy,CZ00,biomass,2009,3368.9834,3861.9691,4354.9547,4340.4019,,
GlobalAmbition,CZ00,biomass,1995,3368.9834,3861.9691,4354.9547,4354.1243,,
GlobalAmbition,CZ00,biomass,2008,3368.9834,3861.9691,4354.9547,4354.7219,,
GlobalAmbition,CZ00,biomass,2009,3368.9834,3861.9691,4354.9547,4353.6587,,
DistributedEnergy,CZ00,gas,1995,10034.4457,13911.8045,17789.1634,15920.6702,,
DistributedEnergy,CZ00,gas,2008,9444.756,13065.9912,16687.2264,13227.9431,,
DistributedEnergy,CZ00,gas,2009,10953.8572,15296.2559,19638.6546,16676.4032,,
GlobalAmbition,CZ00,gas,1995,9384.4085,10808.8441,12233.2796,11351.8587,,
GlobalAmbition,CZ00,gas,2008,8892.3479,10044.9015,11197.4551,10760.4386,,
GlobalAmbition,CZ00,gas,2009,9861.9112,11566.2339,13270.5565,12213.0786,,
DistributedEnergy,CZ00,hardcoal,1995,20945.8284,10472.9142,,,,
DistributedEnergy,CZ00,hardcoal,2008,20998.3474,10499.1737,,,,
DistributedEnergy,CZ00,hardcoal,2009,20974.6498,10487.3249,,,,
GlobalAmbition,CZ00,hardcoal,1995,20825.6752,10412.8376,,,,
GlobalAmbition,CZ00,hardcoal,2008,21016.4215,10508.2108,,,,
GlobalAmbition,CZ00,hardcoal,2009,20979.6785,10489.8392,,,,
DistributedEnergy,CZ00,nuclear,1995,25423.0574,18965.4504,12507.8434,,,
DistributedEnergy,CZ00,nuclear,2008,26470.1141,19845.6024,13221.0906,,,
DistributedEnergy,CZ00,nuclear,2009,26630.8213,20059.1598,13487.4983,,,
GlobalAmbition,CZ00,nuclear,1995,24323.1525,26771.4023,29219.6522,17884.2287,,
GlobalAmbition,CZ00,nuclear,2008,25126.6224,27351.7127,29576.803,18364.8827,,
GlobalAmbition,CZ00,nuclear,2009,26055.3871,28971.7623,31888.1375,19583.9459,,
DistributedEnergy,CZ00,pvrf,1995,9865.1935,15527.3859,21189.5782,33484.5391,,
DistributedEnergy,CZ00,pvrf,2008,10224.5322,16250.7176,22276.903,34701.2058,,
DistributedEnergy,CZ00,pvrf,2009,10227.0289,16251.3417,22275.6544,34654.4237,,
GlobalAmbition,CZ00,pvrf,1995,9020.5917,11588.9777,14157.3637,18678.0282,,
GlobalAmbition,CZ00,pvrf,2008,9393.9029,12080.1178,14766.3328,19513.3633,,
GlobalAmbition,CZ00,pvrf,2009,9421.8475,12085.3285,14748.8096,19447.4455,,
DistributedEnergy,CZ00,windon,1995,17033.7486,26602.6771,36171.6057,45629.5024,,
DistributedEnergy,CZ00,windon,2008,16110.658,25122.4057,34134.1534,43556.9104,,
DistributedEnergy,CZ00,windon,2009,15273.3722,23832.4369,32391.5015,41423.6641,,
GlobalAmbition,CZ00,windon,1995,18506.7827,24149.2706,29791.7586,38586.5805,,
GlobalAmbition,CZ00,windon,2008,17421.8136,22833.9484,28246.0832,36640.1901,,
GlobalAmbition,CZ00,windon,2009,16464.9471,21678.1725,26891.3979,34938.5967,,
DistributedEnergy,DE00,battery,1995,30574.4628,54256.941,77939.4192,87840.6371,,
DistributedEnergy,DE00,battery,2008,30471.8037,54464.5862,78457.3687,88952.3159,,
DistributedEnergy,DE00,battery,2009,30839.5506,54155.6285,77471.7064,91280.2498,,
GlobalAmbition,DE00,battery,1995,10887.7724,24853.3352,38818.898,39147.5307,,
GlobalAmbition,DE00,battery,2008,10707.5203,24445.8346,38184.1489,38612.1651,,
GlobalAmbition,DE00,battery,2009,10668.7299,24405.7901,38142.8503,39789.3701,,
DistributedEnergy,DE00,biomass,1995,44080.5562,47255.7326,50430.909,50057.7706,,
DistributedEnergy,DE00,biomass,2008,44097.4577,47236.7427,50376.0277,50049.3285,,
DistributedEnergy,DE00,biomass,2009,44097.4577,47255.7602,50414.0626,50132.8839,,
GlobalAmbition,DE00,biomass,1995,44036.982,46253.7876,48470.5932,48465.3282,,
GlobalAmbition,DE00,biomass,2008,44073.9373,46581.7298,49089.5224,48669.3992,,
GlobalAmbition,DE00,biomass,2009,44091.7506,46790.2981,49488.8457,49390.8511,,
DistributedEnergy,DE00,dsr,1995,236.1868,3288.5786,6340.9704,7134.6577,,
DistributedEnergy,DE00,dsr,2008,54.8906,2815.2336,5575.5766,5788.2582,,
