time_step,DE00,AT00,FR00,IT00
t_127,58.56304212,58.56304212,58.56304212,58.56304212
t_1270,56.31693543,56.31693543,56.31693543,56.31693543
t_1271,56.31693543,56.31693543,56.31693543,56.31693543
t_1272,55.68379358,55.68379358,55.68379358,55.68379358
t_1273,55.68379356,55.68379356,55.68379356,55.68379356
t_1274,55.68379356,55.68379356,55.68379356,55.68379356
t_1275,54.93799906,54.93799906,54.93799906,54.93799906
t_1276,50.01041792,50.01041792,50.01041792,50.01041792
t_1277,54.12938065,54.12938065,54.12938065,54.12938065
t_1278,54.93799906,54.93799906,54.93799906,54.93799906
t_1279,54.93799906,54.93799906,54.93799906,54.93799906
t_128,59.10273065,59.10273065,59.10273065,59.10273065
t_1280,54.93799906,54.93799906,54.93799906,54.93799906
t_1281,48.04977624,48.04977624,48.04977624,48.04977624
t_1282,43.21985363,43.21985363,43.21985363,43.21985363
t_1283,38.29227248,38.29227248,38.29227248,38.29227248
t_1284,38.29227248,38.29227248,38.29227248,38.29227248
t_1285,38.29227248,38.29227248,38.29227248,38.29227248
t_1286,38.29227248,38.29227248,38.29227248,38.29227248
t_1287,43.21985363,43.21985363,43.21985363,43.21985363
t_1288,43.21985363,43.21985363,43.21985363,43.21985363
t_1289,43.21985363,43.21985363,43.21985363,43.21985363
t_129,47.36204273,47.36204273,47.36204273,47.36204273
t_1290,48.04977624,48.04977624,48.04977624,48.04977624
t_1291,48.04977624,48.04977624,48.04977624,48.04977624
t_1292,48.04977624,48.04977624,48.04977624,48.04977624
t_1293,48.04977624,48.04977624,48.04977624,48.04977624
t_1294,48.04977624,48.04977624,48.04977624,48.04977624
t_1295,48.04977624,48.04977624,48.04977624,48.04977624
t_1296,48.04977624,48.04977624,48.04977624,48.04977624
t_1297,43.21985363,43.21985363,43.21985363,43.21985363
t_1298,43.21985363,43.21985363,43.21985363,43.21985363
t_1299,43.21985363,43.21985363,43.21985363,43.21985363
t_13,27.37388764,27.37388764,27.37388764,27.37388764
t_130,43.87768511,43.87768511,43.87768511,43.87768511
t_1300,43.21985363,43.21985363,43.21985363,43.21985363
t_1301,43.21985363,43.21985363,43.21985363,43.21985363
