t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_7446,0,0.945282633,0,0.949727481,0.940286246,0.95,0.94993312,0.522549058,0.203714379,0,0,0.949999642,0.949429956,0.301538087,0.95,0.779719603,0.318738113,0,0.000945193,0.535917668,0.898317106,0,0,0.820881268,0.013471083
t_7447,0,0.947309524,0,0.94978678,0.942972228,0.95,0.949951151,0.563982392,0.172793509,0,0,0.949999749,0.949989657,0.276065769,0.95,0.845165334,0.33269586,0,0.01545638,0.634236721,0.920866387,0,0,0.812745291,0.019717258
t_7448,0,0.948965065,0,0.949998185,0.941741481,0.95,0.949984613,0.614185365,0.174933196,0,0,0.949995753,0.949986335,0.237410775,0.95,0.907747533,0.352577265,0,0.037336508,0.685180601,0.919720133,0,0,0.810497257,0.030417876
t_7449,0,0.949192413,0,0.949999344,0.946868824,0.95,0.949987131,0.636868816,0.18707955,0,0,0.949995159,0.949951277,0.211592568,0.95,0.944696873,0.386486444,0,0.047177511,0.736081237,0.942257913,0.002398097,0,0.813126957,0.045580601
t_7450,0,0.947506176,0,0.949999836,0.948678545,0.95,0.949966216,0.638653099,0.184611579,0,0,0.949979547,0.949972546,0.210286789,0.95,0.949998754,0.397219935,0,0.042842329,0.73488303,0.943301777,0,0,0.818917174,0.056625252
t_7451,0,0.948541197,0,0.949989809,0.944140856,0.949997176,0.949723593,0.657437732,0.163111881,0,0,0.949979402,0.949936142,0.304408724,0.949999972,0.949812909,0.267883573,0,0.036655304,0.68011066,0.926243504,0,0,0.848321554,0.111408084
t_7452,0,0.94588231,0,0.949862281,0.943603405,0.95,0.949838431,0.664874883,0.114268889,0,0,0.949979261,0.949144655,0.283538821,0.95,0.946832603,0.159882173,0,0.038429148,0.583534151,0.913133094,0,0,0.861935204,0.118110146
t_7453,0,0.948786311,0,0.949915275,0.945964282,0.95,0.949880766,0.663919009,0.08235301,0,0,0.949847697,0.927883525,0.229958847,0.95,0.899913805,0.083445695,0,0.021671182,0.546353826,0.932459195,0.008454439,0,0.855817464,0.105696654
t_7454,0,0.948445463,0,0.949987665,0.942668905,0.95,0.949875692,0.649017467,0.075671212,0,0,0.94947388,0.858007887,0.196649016,0.95,0.848248779,0.048635557,0,0.006549448,0.510231486,0.917874712,0.059877729,0,0.859991052,0.1094377
t_7455,0,0.945352683,0,0.949919768,0.943895173,0.95,0.949687509,0.642539559,0.074491899,0,0,0.947473018,0.819669065,0.167350036,0.95,0.821542894,0.018506835,0,0.00187364,0.48305546,0.906810709,0.076251288,0,0.811741275,0.097948304
t_7456,0,0.944358481,0,0.949984733,0.944266481,0.95,0.949321577,0.620370231,0.054503932,0,0,0.94363894,0.801332661,0.139502529,0.95,0.818078511,0.007323568,0,0.001165707,0.484890005,0.91867356,0.062515282,0,0.77388942,0.095459943
t_7457,0,0.942877134,0,0.949994269,0.938685755,0.95,0.949051068,0.538741351,0.037753731,0,0,0.939998607,0.750496254,0.115665109,0.95,0.871228128,0.012339294,7.06E-05,0.003151832,0.52756189,0.891300055,0.100791296,0,0.732089507,0.128684435
t_7458,0,0.938581238,0,0.949931185,0.938251853,0.95,0.949160093,0.425168837,0.038117781,0,0,0.937898726,0.675616856,0.108064318,0.95,0.903026944,0.014158226,0.001113823,0.011794365,0.619700104,0.891246186,0.097532541,0,0.679863273,0.157681506
t_7459,0,0.932889144,0,0.949929555,0.936861436,0.95,0.949595648,0.350667454,0.035242088,0,0,0.935642318,0.496751101,0.117539881,0.95,0.925014144,0.009576943,0.005629663,0.015823731,0.698707726,0.888583728,0.071404787,0,0.653484969,0.161506964
t_7460,0,0.90385506,0,0.949592421,0.936344896,0.95,0.949758204,0.355444851,0.033642024,0,0,0.920931687,0.378266645,0.15979688,0.95,0.936906837,0.004762188,0.013453052,0.019507616,0.759449325,0.892007988,0.018911068,0,0.620994798,0.165286686
t_7461,0,0.866055226,0,0.948985281,0.935430511,0.95,0.949742748,0.352573147,0.027281852,0,0,0.893009981,0.360163693,0.219313586,0.95,0.94250475,0,0.018280315,0.023585179,0.805971288,0.885930892,0,0,0.57963086,0.171218871
t_7462,0,0.797122081,0,0.948838526,0.93286116,0.95,0.949129466,0.32117915,0.029614728,0,0,0.842479643,0.315240905,0.253945597,0.95,0.943725573,0,0.025653425,0.039405525,0.868486046,0.870991657,0,0,0.507413055,0.169318495
t_7463,0,0.596940399,0,0.946515766,0.90321589,0.95,0.948855467,0.246442337,0.032226129,0,0,0.697812173,0.318571762,0.249290438,0.949998847,0.933143554,0,0.053194003,0.081031487,0.899930987,0.799997866,0,0,0.435497708,0.159128384
t_7464,0,0.581275621,0,0.947227384,0.898196515,0.95,0.944833935,0.205783691,0.039163975,0,0,0.70726001,0.256665047,0.212065584,0.949913282,0.943324639,0,0.038566114,0.078337485,0.900006937,0.78896854,0.00617324,0,0.437442405,0.123734886
t_7465,0,0.612592821,0,0.94496117,0.861417246,0.949999536,0.943581725,0.183914522,0.045263682,0,0,0.707653315,0.266678928,0.183515901,0.942680932,0.948401205,0,0.038559355,0.066590371,0.882556692,0.762945007,0,0,0.463636418,0.083386377
t_7466,0,0.653649224,0,0.939561226,0.82063169,0.949992959,0.942271083,0.146042673,0.053754355,0,0,0.660898924,0.318952596,0.184844926,0.899080564,0.949912301,0,0.050035608,0.072025132,0.86837695,0.714369367,0,0,0.495927754,0.044937799
t_7467,0,0.653230113,0,0.915087945,0.809145137,0.949408053,0.936330913,0.112616617,0.04427291,0,0,0.597165713,0.499516003,0.205823267,0.893786116,0.949983862,0.000149072,0.073712132,0.094798667,0.842300613,0.689162566,0.005738401,0,0.532078325,0.036530661
t_7468,0,0.670647911,0,0.845897748,0.78081941,0.922366908,0.916962601,0.12874956,0.021382331,0,0,0.583116159,0.879302253,0.243296903,0.866947291,0.949835946,0.000185329,0.108673715,0.135424623,0.78723541,0.663973509,0.019706396,0,0.586453866,0.037860648
t_7469,0,0.745664085,0,0.7657785,0.733390139,0.807468514,0.86962895,0.188365272,0.010436662,0,0,0.644519929,0.949554164,0.27862161,0.826967335,0.945491045,0,0.156292574,0.152619593,0.692580373,0.604706338,0.003786473,0,0.646498622,0.033655245
t_7470,0,0.757787067,0,0.69287931,0.65296403,0.694070948,0.8333998,0.247458605,0.003518997,0,0,0.709550301,0.946144532,0.302665542,0.841709295,0.914401899,0,0.204093541,0.13504208,0.583391988,0.51656791,0,0,0.680664655,0.026956247
t_7471,0,0.673069882,0,0.642660341,0.566018235,0.642306106,0.811805838,0.26770544,0.000993165,0,0,0.741533629,0.942545516,0.283721095,0.862725794,0.825971902,0,0.276304025,0.078156822,0.443613828,0.431370962,0,0,0.732670979,0.020541361
t_7472,0,0.557487914,0,0.609395671,0.475584386,0.800430853,0.759046298,0.285393825,0.000535974,0,0,0.74213055,0.949996442,0.234018775,0.892807884,0.705550087,0,0.397930306,0.033914458,0.332567224,0.358002095,0,0,0.782693398,0.013127549
