t,CH00
1050,9229.34
1051,9670.12
1052,9269.18
1053,8621.38
1054,8264.48
1055,8267.64
1056,7932.74
1057,7867.82
1058,7648.89
1059,7554.92
1060,7408.96
1061,7163.66
1062,7257.29
1063,8040.04
1064,8800.475
1065,9298.995
1066,9308.325
1067,9286.67
1068,9302.82
1069,8978.76
1070,9023.405
1071,8905.279
1072,8845.465
1073,8823.15
1074,8928.79
1075,9344.54
1076,8899.07
1077,8221.27
1078,7843.39
1079,7751.86
1080,7402.96
1081,7314.78
1082,7164.83
1083,7044.87
1084,6925.9
1085,6773.44
1086,6918.99
1087,7686.47
1088,8483.801
1089,8982.196
1090,9128.601
1091,9267
1092,9277.7
1093,9041.06
1094,9064.621
1095,8973.909
1096,8856.681
1097,8854.54
1098,8861.41
1099,9190.71
1100,8716.24
1101,8108.43
1102,7703.55
1103,7654.68
1104,7239.81
1105,7018.24
1106,6871.29
1107,6758.32
1108,6696.34
1109,6549.3
1110,6681.19
1111,7535.55
1112,8306.206
1113,8786.947
1114,8817.056
1115,8884.15
1116,8944.7
1117,8606.23
1118,8627.106
1119,8522.582
1120,8465.156
1121,8491.38
1122,8536.64
1123,8967.85
1124,8649.17
1125,8011.36
1126,7616.48
1127,7520.09
1128,7151.2
1129,7047.31
1130,6906.35
1131,6786.39
1132,6687.42
1133,6539.1
1134,6724.84
1135,7557.9
1136,8278.462
1137,8789.055
1138,8800.302
1139,8829.52
1140,8808.14
1141,8442.64
1142,8390.432
1143,8254.829
1144,8074.522
1145,8021.99
1146,8161.41
1147,8685.96
1148,8418.33
1149,7728.54
1150,7379.64
1151,7305.23
1152,7010.32
1153,6766.96
1154,6498.04
1155,6346.08
1156,6192.13
1157,6019.33
1158,6181.46
1159,6385.98
1160,6421.148
1161,6744.249
1162,6877.008
1163,7005.8
1164,7028.2
1165,7053.78
1166,7013.968
1167,6860.621
1168,6762.038
1169,6701.7
1170,6948.23
1171,7523.57
1172,7271.52
1173,6835.65
1174,6472.76
1175,6446.05
1176,6137.15
1177,5810.38
1178,5513.47
1179,5391.51
1180,5357.52
1181,5276.2
1182,5391.68
1183,5516.2
1184,5466.755
1185,5793.18
1186,6038.585
1187,6363.95
1188,6599.61
1189,6908.78
1190,6776.365
1191,6539.671
1192,6431.465
1193,6480.38
1194,6798.26
1195,7198.48
1196,7014.99
1197,6648.1
1198,6284.21
1199,6361.22
1200,5954.34
1201,6479.27
1202,6338.31
1203,6299.32
1204,6283.33
1205,6305.91
1206,6599.33
1207,7505.64
1208,8276.921
1209,8795.307
1210,8857.741
1211,8944.21
1212,8972.44
1213,8696.28
1214,8719.781
1215,8589.601
1216,8518.841
1217,8504.81
1218,8547.75
1219,9059.94
1220,8743.74
1221,8114.93
1222,7806.02
1223,7721.9
1224,7400.99
1225,7347.97
1226,7237
1227,7130.03
1228,7044.06
1229,6857.78
1230,7007.37
1231,7908.09
1232,8591.527
1233,9039.08
1234,9023.397
1235,9014.76
1236,9005.43
1237,8636.87
1238,8629.517
1239,8374.943
1240,8319.607
1241,8347.29
1242,8458.94
1243,9054.64
1244,8766.26
1245,8112.46
1246,7761.56
1247,7724.86
1248,7359.97
1249,7303.43
1250,7183.46
1251,7018.51
1252,6909.55
1253,6760.91
1254,6929.01
1255,7855.41
1256,8524.438
1257,8947.537
1258,8910.328
1259,8895.1
1260,8896.99
1261,8533.21
1262,8471.458
1263,8290.616
1264,8131.558
1265,8191.07
1266,8296.6
1267,8909.64
1268,8649.58
1269,7979.78
1270,7654.87
1271,7568.35
1272,7185.46
1273,7144.25
1274,6958.31
1275,6850.34
1276,6747.37
1277,6566.23
1278,6690.91
1279,7562.91
1280,8281.466
1281,8801.046
1282,8848.296
1283,8934.5
1284,8994.11
1285,8566.61
1286,8551.386
1287,8499.767
1288,8465.406
1289,8485.88
1290,8507.37
1291,8884.06
1292,8536.21
1293,7852.41
1294,7468.53
1295,7328.2
1296,6848.34
1297,6622.31
1298,6489.35
1299,6416.37
1300,6442.36
1301,6288.68
1302,6525.93
1303,7408.44
1304,8144.473
1305,8557.612
1306,8452.383
1307,8407.14
1308,8439
1309,7997.26
1310,7890.553
1311,7677.755
1312,7496.673
1313,7429.17
1314,7615.61
1315,8193.66
1316,8020.33
1317,7363.53
1318,6984.64
1319,6899.22
1320,6532.33
1321,6188.5
1322,5871.6
1323,5745.64
1324,5701.65
1325,5617.23
1326,5803.61
1327,6041.11
1328,6105.595
1329,6507.979
1330,6636.435
1331,6839.87
1332,7023.08
1333,7023.81
1334,7023.325
1335,6835.141
1336,6734.405
1337,6654.42
1338,6867.29
1339,7266.75
1340,7044.19
1341,6555.34
1342,6193.44
1343,6178.51
1344,5887.59
1345,5558.68
1346,5301.75
1347,5184.79
1348,5138.8
1349,5097.59
1350,5227.49
1351,5335.17
1352,5257.078
1353,5594.889
1354,5831.908
1355,6095.94
1356,6326.91
1357,6558.8
1358,6380.748
1359,6133.761
1360,5980.868
1361,6027.05
1362,6387.15
1363,6828.35
1364,6781.56
1365,6408.67
1366,6111.76
1367,6124.51
1368,5757.62
1369,6215.56
1370,6086.6
1371,6072.6
1372,6095.59
1373,6107.22
1374,6464.92
1375,7393.95
1376,8041.532
1377,8455.155
1378,8436.412
1379,8463.63
1380,8559.22
1381,8138.73
1382,8149.502
1383,7985.909
1384,7863.582
1385,7798.05
1386,7869.5
1387,8442.04
1388,8265.37
1389,7629.57
1390,7325.66
1391,7152.28
1392,6744.4
1393,6713
1394,6618.02
1395,6564.04
1396,6521.05
1397,6403.66
1398,6630.33
1399,7556.12
1400,8242.595
1401,8634.171
1402,8478.525
1403,8393.87
1404,8517.98
1405,8054.97
1406,8049.655
1407,7932.556
1408,7873.705
1409,7908.34
1410,7973.93
1411,8440.75
1412,8171.07
1413,7546.26
1414,7207.36
1415,7039.9
1416,6569.04
1417,6214.75
1418,6039.8
1419,5957.83
1420,5975.82
1421,5897.69
1422,6166.43
1423,7071.77
1424,7742.409
1425,8202.145
1426,8186.279
1427,8245.42
1428,8344.47
1429,7844.54
1430,7792.399
1431,7623.379
1432,7523.479
1433,7426.81
1434,7431.05
1435,8009.26
1436,7914.59
1437,7288.78
1438,6934.89
1439,6749.59
1440,6364.7
1441,6157.08
1442,5994.13
1443,5899.16
1444,5888.16
1445,5868.09
1446,6106.93
1447,7005.55
1448,7642.268
1449,8089.087
1450,8059.148
1451,8063.23
1452,8173.72
1453,7664.35
1454,7611.278
1455,7421.819
1456,7184.408
1457,7045.57
1458,7133.62
1459,7725.57
1460,7665.79
1461,7085.96
1462,6736.06
1463,6639.94
1464,6265.05
1465,5849.6
1466,5630.67
1467,5439.73
1468,5425.73
1469,5367.64
1470,5614.41
1471,5917
1472,5937.892
1473,6315.66
1474,6395.752
1475,6504.83
1476,6641.83
1477,6559.81
1478,6482.732
1479,6318.719
1480,6188.822
1481,6184.03
1482,6401.18
1483,6829.39
1484,6723.49
1485,6271.63
1486,5940.73
1487,5910.59
1488,5554.69
1489,5200.16
1490,4860.26
1491,4720.3
1492,4720.3
1493,4740.4
1494,4982.38
1495,5187.61
1496,5051.761
1497,5358.744
1498,5548.611
1499,5823.42
1500,6011.83
1501,6086.34
1502,5895.501
1503,5685.116
1504,5547.611
1505,5621.4
1506,6028.07
1507,6552.63
1508,6522.5
1509,6152.61
1510,5846.7
1511,5769.99
1512,5310.13
1513,5379.77
1514,5194.82
1515,5190.82
1516,5294.79
1517,5450.8
1518,5898.87
1519,7030.93
1520,7852.806
1521,8445.776
1522,8511.606
1523,8650.45
1524,8862.79
1525,8417.52
1526,8467.616
1527,8349.242
1528,8254.686
1529,8175.42
1530,8116.2
1531,8522.61
1532,8277.59
1533,7601.79
1534,7247.9
1535,7098.25
1536,6699.37
1537,6545.49
1538,6448.52
1539,6369.54
1540,6370.54
1541,6199.62
1542,6494.52
1543,7483.19
1544,8147.997
1545,8588.872
1546,8543.877
1547,8590.86
1548,8720.82
1549,8120
1550,8139.997
1551,8045.022
1552,7972.047
1553,8055.03
1554,8090.04
1555,8470.88
1556,8248.95
1557,7594.15
1558,7226.26
1559,7098.33
1560,6653.46
1561,6505.92
1562,6387.96
1563,6333.97
1564,6291.99
1565,6187.57
1566,6430.09
1567,7458.49
1568,8037.883
1569,8436.353
1570,8346.793
1571,8273.25
1572,8372.92
1573,7879.36
1574,7870.933
1575,7756.255
1576,7633.003
1577,7690.86
1578,7777.69
1579,8262.88
1580,8092.31
1581,7451.5
1582,7091.61
1583,6893.81
1584,6405.95
1585,6239.69
1586,6057.74
1587,5944.78
1588,5901.79
1589,5845.9
1590,6075.1
1591,7149.56
1592,7953.568
1593,8474.659
1594,8541.388
1595,8604.13
1596,8716.47
1597,8271.23
1598,8282.468
1599,8196.128
1600,8140.508
1601,8155.02
1602,8092.49
1603,8402.81
1604,8262.51
1605,7663.69
1606,7277.81
1607,7087.44
1608,6724.54
1609,6626.54
1610,6490.58
1611,6410.6
1612,6343.62
1613,6226.92
1614,6453.02
1615,7397.5
1616,8024.56
1617,8448.675
1618,8350.46
1619,8358.21
1620,8444.07
1621,8023.31
1622,7950.58
1623,7743.782
1624,7491.71
1625,7334.28
1626,7467.71
1627,7925.92
1628,8009.65
1629,7403.83
1630,7048.94
1631,6970.43
1632,6682.52
1633,6365.13
1634,6164.19
1635,6049.23
1636,5929.26
1637,5770.02
1638,5929.61
1639,6205.57
1640,6205.242
1641,6547.809
1642,6635.112
1643,6740.41
1644,6818.06
1645,6782.4
1646,6739.082
1647,6573.467
1648,6413.182
1649,6316.87
1650,6460.45
1651,6850.45
1652,6937.61
1653,6530.73
1654,6216.83
1655,6155.2
1656,5898.27
1657,5622.5
1658,5357.58
1659,5210.63
1660,5132.65
1661,5118.49
1662,5281.22
1663,5370.51
1664,5232.315
1665,5515.017
1666,5696.175
1667,5989.32
1668,6167.39
1669,6260.24
1670,6093.055
1671,5910.029
1672,5788.155
1673,5870.58
1674,6195.95
1675,6515.58
1676,6520.73
1677,6113.85
1678,5853.93
1679,5829.44
1680,5369.58
1681,5701.36
1682,5571.4
1683,5576.4
1684,5603.39
1685,5679.72
1686,6122.84
1687,7132.45
1688,7838.521
1689,8295.678
1690,8198.421
1691,8254.12
1692,8483.9
1693,7912.22
1694,7967.481
1695,7825.653
1696,7685.571
1697,7671.98
1698,7593.4
1699,7954.47
1700,8015.19
1701,7380.38
1702,7032.49
1703,6805.03
1704,6290.19
1705,6120.4
1706,5981.44
1707,5900.46
1708,5923.46
1709,5871.05
1710,6210.58
1711,7213.3
1712,7853.769
1713,8233.31
1714,8091.699
1715,8100.03
1716,8270.64
1717,7755.13
1718,7799.779
1719,7618.172
1720,7509.869
1721,7436.58
1722,7399.22
1723,7771.16
1724,7891.35
1725,7271.53
1726,6962.63
1727,6778.2
1728,6256.36
1729,6052.61
1730,5849.67
1731,5780.69
1732,5778.69
1733,5811.64
1734,6100.56
1735,7130.3
1736,7761.121
1737,8133.008
1738,8104.011
1739,8174.99
1740,8329.45
1741,7777.11
1742,7789.111
1743,7630.673
1744,7486.201
1745,7402.21
1746,7394.17
1747,7765.99
1748,7849.04
1749,7213.23
1750,6970.3
1751,6780.39
1752,6269.54
1753,6050.72
1754,5842.79
1755,5736.82
1756,5761.81
1757,5790.77
1758,6083.54
1759,7064.77
1760,7677.446
1761,8027.196
1762,7945.366
1763,7962.5
1764,8134.54
1765,7581.62
1766,7561.486
1767,7416.442
1768,7297.556
1769,7256.86
1770,7188.21
1771,7512.38
1772,7708.66
1773,7125.83
1774,6830.92
1775,6637.55
1776,6142.7
1777,5953.37
1778,5755.42
1779,5635.46
1780,5650.46
1781,5675.35
1782,5983.2
1783,6953.61
1784,7554.341
1785,7934.161
1786,7743.281
1787,7749.38
1788,7960.85
1789,7411.48
1790,7374.391
1791,7191.921
1792,6960.521
1793,6808.73
1794,6834.95
1795,7158.1
1796,7332.13
1797,6738.3
1798,6425.4
1799,6316.26
1800,5973.36
1801,5610.26
1802,5349.33
1803,5150.39
1804,5088.41
1805,5039.7
1806,5367.97
1807,5660.79
1808,5725.102
1809,6069.317
1810,6142.972
1811,6284.61
1812,6446.9
1813,6446.56
1814,6381.902
1815,6224.611
1816,6110.982
1817,6026.36
1818,6181.73
1819,6419.75
1820,6526.34
1821,6107.46
1822,5819.55
1823,5773.21
1824,5459.3
1825,5142.72
1826,4837.81
1827,4692.85
1828,4659.86
1829,4673.14
1830,4852.34
1831,5007.13
1832,4912.447
1833,5162.632
1834,5316.327
1835,5542.97
1836,5869.24
1837,6115.8
1838,6143.077
1839,5998.735
1840,6020.117
1841,6185.49
1842,6476.85
1843,6649.9
1844,6589.77
1845,6186.89
1846,5900.97
1847,5814.52
1848,5438.63
1849,5582.36
1850,5435.4
1851,5425.41
1852,5429.4
1853,5477.38
1854,5814.26
1855,6831.65
1856,7547.342
1857,8082.106
1858,8220.142
1859,8363.19
1860,8594.17
1861,8226.23
1862,8229.142
1863,8130.134
1864,8096.182
1865,8137.33
1866,8080.58
1867,8303.71
1868,8139.84
1869,7501.03
1870,7182.12
1871,6950.95
1872,6507.08
1873,6379.35
