t,demand_[MWh]
1374,2282.88
1375,1141.4
1376,760.86
1377,380.44
1378,760.86
1379,1141.4
1380,1331.64
1381,1141.4
1382,760.86
1383,570.72
1384,760.86
1385,1521.94
1386,2282.88
1387,3424.34
1388,3804.6
1389,3804.6
1390,3804.6
1391,3043.46
1392,3043.46
1393,2930.4
1394,2930.4
1395,2930.4
1396,2930.4
1397,2564.6
1398,2198.06
1399,1099
1400,732.7
1401,366.36
1402,732.7
1403,1099
1404,1282.2
1405,1099
1406,732.7
1407,549.44
1408,732.7
1409,1465.26
1410,2198.06
1411,3296.98
1412,3663.6
1413,3663.6
1414,3663.6
1415,2930.4
1416,2930.4
1417,2863.28
1418,2863.28
1419,2863.28
1420,2863.28
1421,2505.42
1422,2147.66
1423,1073.7
1424,715.84
1425,357.88
1426,715.84
1427,1073.7
1428,1252.64
1429,1073.7
1430,715.84
1431,536.9
1432,715.84
1433,1431.62
1434,2147.66
1435,3221.64
1436,3578.8
1437,3578.8
1438,3578.8
1439,2863.28
1440,2863.28
1441,2903.2
1442,2903.2
1443,2903.2
1444,2903.2
1445,2540.38
1446,2177.64
1447,1088.6
1448,725.84
1449,362.88
1450,725.84
1451,1088.6
1452,1270.12
1453,1088.6
1454,725.84
1455,544.34
1456,725.84
1457,1451.62
1458,2177.64
1459,3266.58
1460,3628.84
1461,3628.84
1462,3628.84
1463,2903.2
1464,2903.2
1465,2937.98
1466,2937.98
1467,2937.98
1468,2937.98
1469,2570.72
1470,2203.66
1471,1101.82
1472,734.52
1473,367.28
1474,734.52
1475,1101.82
1476,1285.48
1477,1101.82
1478,734.52
1479,550.9
1480,734.52
1481,1469.1
1482,2203.66
1483,3305.42
1484,3672.84
1485,3672.84
1486,3672.84
1487,2937.98
1488,2937.98
1489,2908.74
1490,2908.74
1491,2908.74
1492,2908.74
1493,2545.1
1494,2181.66
1495,1090.8
1496,727.16
1497,363.62
1498,727.16
1499,1090.8
1500,1272.54
1501,1090.8
1502,727.16
1503,545.36
1504,727.16
1505,1454.38
1506,2181.66
1507,3272.5
1508,3636.34
1509,3636.34
1510,3636.34
1511,2908.74
1512,2908.74
1513,2910.32
1514,2910.32
1515,2910.32
1516,2910.32
1517,2546.88
1518,2182.78
1519,1091.42
1520,727.68
1521,363.82
1522,727.68
1523,1091.42
1524,1273.44
1525,1091.42
1526,727.68
1527,545.7
1528,727.68
1529,1455.34
1530,2182.78
1531,3274.46
1532,3638.08
1533,3638.08
1534,3638.08
1535,2910.32
1536,2910.32
1537,3015.72
1538,3015.72
1539,3015.72
1540,3015.72
1541,2638.64
1542,2261.76
1543,1130.98
1544,754
1545,376.98
1546,754
1547,1130.98
1548,1319.44
1549,1130.98
1550,754
1551,565.52
1552,754
1553,1507.9
1554,2261.76
1555,3392.84
1556,3769.78
1557,3769.78
1558,3769.78
1559,3015.72
1560,3015.72
1561,3036.78
1562,3036.78
1563,3036.78
1564,3036.78
1565,2657.26
1566,2277.56
1567,1138.84
1568,759.24
1569,379.6
1570,759.24
1571,1138.84
1572,1328.66
1573,1138.84
1574,759.24
1575,569.44
1576,759.24
1577,1518.4
1578,2277.56
1579,3416.12
1580,3795.94
1581,3795.94
1582,3795.94
1583,3036.78
1584,3036.78
1585,3061.18
1586,3061.18
1587,3061.18
1588,3061.18
1589,2679.2
1590,2296.4
1591,1148.1
1592,765.42
1593,382.68
1594,765.42
1595,1148.1
1596,1339.44
1597,1148.1
1598,765.42
1599,574.06
1600,765.42
1601,1530.82
1602,2296.4
1603,3443.84
1604,3826.94
1605,3826.94
1606,3826.94
1607,3061.18
1608,3061.18
1609,3024.58
1610,3024.58
1611,3024.58
1612,3024.58
1613,2646.4
1614,2268.68
1615,1134.28
1616,756.18
1617,378.08
1618,756.18
1619,1134.28
1620,1323.28
1621,1134.28
1622,756.18
1623,567.04
1624,756.18
1625,1512.3
1626,2268.68
1627,3402.6
1628,3780.68
1629,3780.68
1630,3780.68
1631,3024.58
1632,3024.58
1633,3040.58
1634,3040.58
1635,3040.58
1636,3040.58
1637,2660.38
1638,2280.46
1639,1140.16
1640,760.12
1641,380.06
1642,760.12
1643,1140.16
1644,1330.18
1645,1140.16
1646,760.12
1647,570.08
1648,760.12
1649,1520.22
1650,2280.46
1651,3420
1652,3800.74
1653,3800.74
1654,3800.74
1655,3040.58
1656,3040.58
1657,2934.18
1658,2934.18
1659,2934.18
1660,2934.18
1661,2567.16
1662,2200.4
1663,1100.24
1664,733.54
1665,366.74
1666,733.54
1667,1100.24
1668,1283.58
1669,1100.24
1670,733.54
1671,550.02
1672,733.54
1673,1466.98
1674,2200.4
1675,3300.36
1676,3667.46
1677,3667.46
1678,3667.46
1679,2934.18
1680,2934.18
1681,2879.56
1682,2879.56
1683,2879.56
1684,2879.56
1685,2519.36
1686,2159.6
1687,1079.68
1688,719.8
1689,359.9
1690,719.8
1691,1079.68
1692,1259.66
1693,1079.68
1694,719.8
1695,539.96
1696,719.8
1697,1439.7
1698,2159.6
1699,3239.12
1700,3598.9
1701,3598.9
1702,3598.9
1703,2879.56
1704,2879.56
1705,2892.6
1706,2892.6
1707,2892.6
1708,2892.6
1709,2531.36
1710,2169.92
1711,1084.88
1712,723.26
1713,361.66
1714,723.26
1715,1084.88
1716,1265.74
1717,1084.88
1718,723.26
1719,542.44
1720,723.26
1721,1446.46
1722,2169.92
1723,3254.6
1724,3616.74
1725,3616.74
1726,3616.74
1727,2892.6
1728,2892.6
1729,2905.54
1730,2905.54
1731,2905.54
1732,2905.54
1733,2542.54
1734,2179.32
1735,1089.56
1736,726.38
1737,363.2
1738,726.38
1739,1089.56
1740,1271.12
1741,1089.56
1742,726.38
1743,544.72
1744,726.38
1745,1452.8
1746,2179.32
1747,3269.2
1748,3632.02
1749,3632.02
1750,3632.02
1751,2905.54
1752,2905.54
1753,2937.16
1754,2937.16
1755,2937.16
1756,2937.16
1757,2569.56
1758,2202.42
1759,1101.28
1760,734.16
1761,367.06
1762,734.16
1763,1101.28
1764,1284.8
1765,1101.28
1766,734.16
1767,550.66
1768,734.16
1769,1468.42
1770,2202.42
1771,3304.5
1772,3670.72
1773,3670.72
1774,3670.72
1775,2937.16
1776,2937.16
1777,2902.18
1778,2902.18
1779,2902.18
1780,2902.18
1781,2539.44
1782,2176.54
1783,1088.38
1784,725.64
1785,362.76
1786,725.64
1787,1088.38
1788,1269.78
1789,1088.38
1790,725.64
1791,544.18
1792,725.64
1793,1451.2
1794,2176.54
1795,3264.92
1796,3627.74
1797,3627.74
1798,3627.74
1799,2902.18
1800,2902.18
1801,2769.84
1802,2769.84
1803,2769.84
1804,2769.84
1805,2423.8
1806,2077.28
1807,1038.76
1808,692.48
1809,346.24
1810,692.48
1811,1038.76
1812,1211.88
1813,1038.76
1814,692.48
1815,519.34
1816,692.48
1817,1385.02
1818,2077.28
1819,3115.84
1820,3462.38
1821,3462.38
1822,3462.38
1823,2769.84
1824,2769.84
1825,2768.36
1826,2768.36
1827,2768.36
1828,2768.36
1829,2422.28
1830,2076.32
1831,1038.12
1832,692.02
1833,346.02
1834,692.02
1835,1038.12
1836,1211.12
1837,1038.12
1838,692.02
1839,519.1
1840,692.02
1841,1384.2
1842,2076.32
1843,3114.82
1844,3460.32
1845,3460.32
1846,3460.32
1847,2768.36
1848,2768.36
1849,2865.94
1850,2865.94
1851,2865.94
1852,2865.94
1853,2507.38
1854,2148.96
1855,1074.58
1856,716.46
1857,358.18
1858,716.46
1859,1074.58
1860,1253.66
1861,1074.58
1862,716.46
1863,537.3
1864,716.46
1865,1432.86
1866,2148.96
1867,3223.76
1868,3581.98
1869,3581.98
1870,3581.98
1871,2865.94
1872,2865.94
1873,2947.66
1874,2947.66
1875,2947.66
1876,2947.66
1877,2579.28
1878,2210.46
1879,1105.28
1880,736.9
1881,368.48
1882,736.9
1883,1105.28
1884,1289.62
1885,1105.28
