"area","technology","variable","value"
"SE03","pumped_closed","gen_cap_MW",0
"SE03","reservoir","sto_GWh",2635.077
"SE03","pumped_open","sto_GWh",0
"SE03","pumped_closed","sto_GWh",0
"SE04","reservoir","pumping_cap_MW",0
"SE04","pumped_open","pumping_cap_MW",0
"SE04","pumped_closed","pumping_cap_MW",0
"SE04","reservoir","gen_cap_MW",345
"SE04","pumped_open","gen_cap_MW",0
"SE04","pumped_closed","gen_cap_MW",0
"SE04","reservoir","sto_GWh",71.35
"SE04","pumped_open","sto_GWh",0
"SE04","pumped_closed","sto_GWh",0
"SI00","reservoir","pumping_cap_MW",0
"SI00","pumped_open","pumping_cap_MW",0
"SI00","pumped_closed","pumping_cap_MW",-185
"SI00","reservoir","gen_cap_MW",0
"SI00","pumped_open","gen_cap_MW",0
"SI00","pumped_closed","gen_cap_MW",180
"SI00","reservoir","sto_GWh",0
"SI00","pumped_open","sto_GWh",0
"SI00","pumped_closed","sto_GWh",2.596
"SK00","reservoir","pumping_cap_MW",0
"SK00","pumped_open","pumping_cap_MW",-178.28
"SK00","pumped_closed","pumping_cap_MW",-649.86
"SK00","reservoir","gen_cap_MW",21.28
"SK00","pumped_open","gen_cap_MW",276.2
"SK00","pumped_closed","gen_cap_MW",649.86
"SK00","reservoir","sto_GWh",17.2415450625
"SK00","pumped_open","sto_GWh",45.55
"SK00","pumped_closed","sto_GWh",4.1
"TR00","reservoir","pumping_cap_MW",0
"TR00","pumped_open","pumping_cap_MW",0
"TR00","pumped_closed","pumping_cap_MW",0
"TR00","reservoir","gen_cap_MW",29239.66
"TR00","pumped_open","gen_cap_MW",0
"TR00","pumped_closed","gen_cap_MW",0
"TR00","reservoir","sto_GWh",102338.8085720385
"TR00","pumped_open","sto_GWh",0
"TR00","pumped_closed","sto_GWh",0
"UA01","reservoir","pumping_cap_MW",0
"UA01","pumped_open","pumping_cap_MW",0
"UA01","pumped_closed","pumping_cap_MW",0
"UA01","reservoir","gen_cap_MW",55
"UA01","pumped_open","gen_cap_MW",0
"UA01","pumped_closed","gen_cap_MW",0
"UA01","reservoir","sto_GWh",0.051
"UA01","pumped_open","sto_GWh",0
"UA01","pumped_closed","sto_GWh",0
"UK00","reservoir","pumping_cap_MW",0
"UK00","pumped_open","pumping_cap_MW",0
"UK00","pumped_closed","pumping_cap_MW",-2684
"UK00","reservoir","gen_cap_MW",0
"UK00","pumped_open","gen_cap_MW",0
"UK00","pumped_closed","gen_cap_MW",2954
"UK00","reservoir","sto_GWh",0
"UK00","pumped_open","sto_GWh",0
"UK00","pumped_closed","sto_GWh",26.38
